team,archetype,ppda,possession_pct,pass_directness,defensive_line_height,dribbles_per90,counter_attack_speed,progressive_passes_per90,crosses_per90,shots_open_play_pct,high_turnovers_per90,rank_ppda,rank_possession_pct,rank_pass_directness,rank_defensive_line_height,rank_dribbles_per90,rank_counter_attack_speed,rank_progressive_passes_per90,rank_crosses_per90,rank_shots_open_play_pct,rank_high_turnovers_per90
Argentina,High-Press Possession,2.5551,58.5988,0.1477,0.2287,29.3946,6.7893,212.4467,19.5726,84.221,21.0062,20,61,7,56,52,11,49,39,2,45
Athletic Club,Deep-Block Counter,3.667,35.0515,0.197,0.1987,20.7405,6.9848,190.25,14.8695,100.0,13.8801,52,14,52,24,19,13,34,13,59,11
Atlético Madrid,Direct Long-Ball,3.0913,37.2089,0.1852,0.199,31.8916,10.6757,178.4444,18.3423,87.5926,20.818,33,17,46,25,58,47,24,33,5,44
Australia,Deep-Block Counter,3.4259,37.0521,0.1841,0.183,20.8986,9.0945,187.3379,15.2452,100.0,18.2303,46,16,44,2,21,35,30,16,59,28
Austria,Wing-Play Focused,1.9489,52.9412,0.166,0.2341,29.2035,8.6245,230.878,22.3231,98.4375,23.274,4,49,21,60,51,29,60,49,52,52
Barcelona,High-Press Possession,1.886,65.1319,0.153,0.2146,39.1889,9.4594,238.4095,18.4077,88.839,20.6495,2,63,12,46,63,37,62,34,8,42
Belgium,Wing-Play Focused,3.3082,53.9703,0.1491,0.1902,31.0082,8.6514,207.0006,17.1806,95.4167,19.1995,42,53,10,15,56,31,44,24,37,33
Brazil,High-Press Possession,2.5522,56.9888,0.1764,0.2115,35.4255,8.3983,230.8085,27.2552,89.1339,26.9974,19,59,35,40,62,27,59,60,10,60
Cameroon,Deep-Block Counter,2.9001,43.1515,0.2002,0.1838,24.4226,,199.083,18.9045,97.4359,15.3156,29,31,54,5,37,62,41,37,47,17
Canada,High-Press Possession,2.4818,54.5115,0.1845,0.2362,44.5571,8.4702,217.851,22.0323,94.3182,28.6531,17,55,45,62,64,28,52,46,29,64
Celta Vigo,Direct Long-Ball,3.2518,39.4983,0.1451,0.2037,20.7817,7.178,150.073,15.1188,84.0,15.8361,39,22,4,28,20,16,5,15,1,19
Costa Rica,Individual Flair,5.5272,31.9338,0.1478,0.1865,19.2583,5.543,139.7732,10.0294,100.0,12.4071,64,8,9,11,13,8,2,5,59,6
Croatia,Wing-Play Focused,2.7065,53.0006,0.1624,0.2077,25.7556,7.4682,223.44,25.9845,93.8872,19.8298,25,50,19,35,42,17,54,56,27,36
Czech Republic,Wing-Play Focused,2.3488,48.7142,0.1804,0.2235,19.0241,4.8057,208.6196,23.8465,94.697,16.5942,10,45,41,55,12,5,47,53,32,24
Denmark,Wing-Play Focused,2.3676,55.365,0.176,0.2201,27.2001,6.3436,233.3236,26.3592,95.7251,22.6736,11,56,33,52,49,10,61,57,38,51
Deportivo Alavés,Individual Flair,4.4749,24.861,0.2028,0.2155,20.6404,11.55,158.292,15.7519,95.8333,11.3742,61,4,58,47,18,55,11,17,40,4
Ecuador,High-Press Possession,2.0894,53.5093,0.153,0.2344,21.1855,5.5095,195.7124,16.4084,90.7407,21.6804,7,52,12,61,24,7,37,20,17,48
Eibar,Wing-Play Focused,2.5486,39.334,0.2107,0.2448,15.5577,10.3202,228.159,40.4197,97.9167,19.2836,18,21,61,63,2,42,58,64,50,34
England,High-Press Possession,2.4229,56.1708,0.1711,0.2196,26.8084,10.8217,224.9115,18.7426,90.1478,20.8031,15,58,24,50,46,49,56,35,14,43
Espanyol,Direct Long-Ball,3.2412,33.1278,0.2015,0.2039,20.6165,11.2033,175.1358,17.8577,89.3939,16.1284,38,10,56,29,16,52,20,30,11,21
